	mg0	mg1	mg2	mg3	mg4	mg5
i.ln_asset	-1.016***	-1.095***	-1.023***	-1.106***	-1.072***	-1.029***
	(0.175)	(0.184)	(0.182)	(0.185)	(0.186)	(0.185)
i.cash	-0.159	0.385	0.421	0.381	0.315	0.415
	(1.122)	(1.181)	(1.167)	(1.177)	(1.180)	(1.166)
i.roa	0.484	0.527	0.321	0.549	0.458	0.328
	(0.393)	(0.394)	(0.379)	(0.390)	(0.408)	(0.387)
i.m2b	-0.026	-0.025	-0.023	-0.025	-0.023	-0.022
	(0.019)	(0.019)	(0.018)	(0.019)	(0.019)	(0.018)
i.div	0.098	0.170	0.112	0.169	0.185	0.116
	(0.228)	(0.234)	(0.233)	(0.234)	(0.237)	(0.234)
j.age	-0.056	-0.055	-0.057	-0.055	-0.056	-0.057
	(0.039)	(0.039)	(0.039)	(0.039)	(0.039)	(0.039)
I(j.age^2)	0.001	0.001	0.001	0.001	0.001	0.001
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
i.age	0.017	0.023*	0.024*	0.024*	0.022*	0.024*
	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)
i.deg.full	0.005***	0.005***	0.004**	0.005***	0.004	0.004
	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)
j.deg.full	-0.015	-0.014	-0.027*	-0.014	-0.016	-0.027*
	(0.011)	(0.011)	(0.012)	(0.011)	(0.011)	(0.012)
ij.same.region	0.471**	0.456*	0.461*	0.454*	0.449*	0.458*
	(0.181)	(0.181)	(0.182)	(0.181)	(0.181)	(0.182)
i.fm.mmc.sum	-0.243	0.566	0.497	0.566	0.359	0.452
	(0.198)	(0.448)	(0.428)	(0.448)	(0.536)	(0.516)
i.acqs	0.001	0.001	0.000	0.001	0.001	0.000
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)
j.acqs	-0.001	-0.002	-0.007	-0.002	-0.002	-0.007
	(0.036)	(0.036)	(0.047)	(0.036)	(0.036)	(0.047)
ij.cossim	1.749***	1.819***	1.844***	1.811***	1.804***	1.836***
	(0.485)	(0.490)	(0.492)	(0.490)	(0.490)	(0.493)
ij.dist	-0.221**	-0.236**	-0.221**	-0.230**	-0.233**	-0.217**
	(0.081)	(0.081)	(0.082)	(0.082)	(0.081)	(0.082)
j.constraint	1.434***	1.453***	1.324***	1.446***	1.440***	1.319***
	(0.366)	(0.366)	(0.367)	(0.366)	(0.366)	(0.367)
i.constraint	-5.687*	-5.291*	-2.943	-5.413*	-4.748	-2.963
	(2.514)	(2.510)	(2.450)	(2.430)	(2.782)	(2.503)
ij.syn.constraint	-5.082***	-5.159***	-1.659	-5.173***	-5.031***	-1.704
	(0.965)	(0.970)	(1.469)	(0.970)	(0.984)	(1.471)
ij.syn.degree	-0.040	-0.062	0.014	-0.064	-0.069	0.010
	(0.042)	(0.044)	(0.049)	(0.044)	(0.046)	(0.051)
ij.syn.closeness2	0.319	0.382	0.292	0.590	0.379	0.443
	(0.649)	(0.639)	(0.678)	(0.709)	(0.636)	(0.741)
I(i.fm.mmc.sum^2)		-0.175*	-0.137	-0.192*	-0.116	-0.137
		(0.085)	(0.084)	(0.089)	(0.120)	(0.121)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-0.582**			-0.572**
			(0.190)			(0.193)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)				-0.025		-0.019
				(0.038)		(0.038)
ij.syn.degree x I(i.fm.mmc.sum^2)					0.011	0.003
					(0.016)	(0.016)
Likelihood-ratio	194.2	198.5	208.3	198.9	199.0	208.6
Log-likelihood	-481.2	-479.1	-474.1	-478.8	-478.8	-474.0
Deviance	956.9	952.6	942.8	952.1	952.1	942.5
AIC	998.9	996.6	988.8	998.1	998.1	992.5
BIC	1074.6	1075.9	1071.7	1081.1	1081.0	1082.6
N	272	272	272	272	272	272
