	mg0	mg1	mg2	mg3	mg4	mg5
ln_asset	-0.080	-0.313	-0.146	-0.299	-0.316	-0.131
	(0.206)	(0.222)	(0.229)	(0.224)	(0.224)	(0.233)
cash_holding	0.009	0.015	0.009	0.015	0.016*	0.009
	(0.007)	(0.008)	(0.008)	(0.008)	(0.008)	(0.008)
roa	0.004	0.003	0.003	0.003	0.003	0.004
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)
ln_employee	-0.069	0.237	0.182	0.250	0.246	0.206
	(0.244)	(0.267)	(0.266)	(0.268)	(0.269)	(0.269)
j.age	-0.275	-0.243	-0.265	-0.231	-0.244	-0.254
	(0.243)	(0.242)	(0.240)	(0.242)	(0.242)	(0.241)
i.age	0.320	0.286	0.301	0.274	0.287	0.289
	(0.241)	(0.240)	(0.239)	(0.240)	(0.240)	(0.239)
ij.age.diff	-0.303	-0.270	-0.293	-0.259	-0.271	-0.282
	(0.241)	(0.240)	(0.239)	(0.240)	(0.240)	(0.239)
i.deg	-0.000	-0.001	-0.001	-0.001	-0.001	-0.001
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg	-0.006	-0.006	-0.004	-0.008	-0.006	-0.007
	(0.007)	(0.007)	(0.007)	(0.007)	(0.007)	(0.007)
ij.same.region	0.726***	0.711***	0.744***	0.725***	0.708***	0.753***
	(0.164)	(0.165)	(0.166)	(0.166)	(0.165)	(0.168)
i.fm.mmc.sum	-0.203	0.397	0.732*	0.282	0.399	0.622*
	(0.132)	(0.258)	(0.287)	(0.266)	(0.259)	(0.294)
I(i.acq.experience * 100)	0.147***	0.148***	0.146***	0.142***	0.148***	0.140***
	(0.037)	(0.037)	(0.037)	(0.037)	(0.037)	(0.037)
ij.discossim	-0.940*	-1.018*	-1.059*	-1.053*	-1.019*	-1.096*
	(0.424)	(0.425)	(0.427)	(0.426)	(0.426)	(0.428)
ij.dist	-0.416***	-0.427***	-0.439***	-0.431***	-0.429***	-0.445***
	(0.080)	(0.080)	(0.081)	(0.081)	(0.080)	(0.082)
j.constraint	1.057**	1.090**	1.131***	1.165***	1.091**	1.199***
	(0.335)	(0.334)	(0.333)	(0.334)	(0.334)	(0.334)
i.constraint	-5.512*	-4.351	-5.419*	-4.255	-4.219	-5.211
	(2.639)	(2.536)	(2.669)	(2.602)	(2.534)	(2.749)
ij.syn.constraint	-9.499*	-8.866*	-10.045*	-6.893*	-8.781	-7.691*
	(4.690)	(4.497)	(4.745)	(3.468)	(4.484)	(3.565)
ij.syn.closeness2	0.059	0.043	0.025	-0.073	0.031	-0.098
	(0.164)	(0.166)	(0.167)	(0.177)	(0.167)	(0.179)
react.rival.2	-0.013	0.030	-0.153*	0.030	0.031	-0.154*
	(0.030)	(0.034)	(0.074)	(0.035)	(0.034)	(0.076)
I(i.fm.mmc.sum^2)		-0.163**	-0.329***	-0.144*	-0.153*	-0.302***
		(0.060)	(0.084)	(0.061)	(0.062)	(0.087)
react.rival.2 x I(i.fm.mmc.sum^2)			0.014**			0.015**
			(0.005)			(0.005)
ij.syn.constraint x I(i.fm.mmc.sum^2)				-6.206*		-5.853*
				(2.440)		(2.371)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)					0.002	0.003
					(0.004)	(0.004)
Likelihood-ratio	153.9	161.5	169.5	169.9	161.9	178.1
Log-likelihood	-559.8	-556.0	-552.0	-551.8	-555.8	-547.7
Deviance	1119.5	1112.0	1103.9	1103.5	1111.6	1095.3
AIC	1157.5	1152.0	1145.9	1145.5	1153.6	1141.3
BIC	1228.7	1226.9	1224.6	1224.2	1232.3	1227.5
N	313	313	313	313	313	313
