	mc2	mc3	mc3a	mc3b	mc3c	mc3d	mc3e	mc3z
ln_asset	-0.071	-0.171	-0.051	-0.076	-0.094	-0.054	-0.073	-0.147
	(0.172)	(0.177)	(0.178)	(0.171)	(0.173)	(0.238)	(0.173)	(0.269)
cash_holding	0.008	0.013	0.007	0.008	0.009	0.008	0.008	0.012
	(0.007)	(0.007)	(0.007)	(0.007)	(0.007)	(0.010)	(0.007)	(0.011)
roa	0.000	0.000	-0.000	0.000	0.000	-0.000	0.000	-0.001
	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.003)	(0.002)	(0.003)
ln_employee	-0.029	0.132	-0.042	-0.025	0.023	-0.006	-0.037	0.194
	(0.212)	(0.222)	(0.219)	(0.212)	(0.215)	(0.295)	(0.214)	(0.333)
j.age	-0.265	-0.246	-0.331	-0.248	-0.242	-0.185	-0.262	-0.184
	(0.237)	(0.235)	(0.240)	(0.237)	(0.236)	(0.242)	(0.237)	(0.246)
i.age	0.304	0.289	0.370	0.287	0.281	0.232	0.302	0.235
	(0.235)	(0.233)	(0.238)	(0.236)	(0.234)	(0.240)	(0.235)	(0.244)
ij.age.diff	-0.293	-0.275	-0.358	-0.277	-0.270	-0.222	-0.291	-0.220
	(0.235)	(0.234)	(0.238)	(0.236)	(0.235)	(0.240)	(0.235)	(0.245)
i.deg	-0.001	-0.000	-0.001	-0.001	-0.000	-0.002	-0.001	-0.002
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)
j.deg	-0.005	-0.005	-0.011	-0.001	-0.009	-0.427***	-0.006	-0.474***
	(0.006)	(0.006)	(0.007)	(0.007)	(0.007)	(0.052)	(0.006)	(0.058)
ij.same.region	0.755***	0.730***	0.726***	0.768***	0.735***	0.899***	0.751***	0.867***
	(0.163)	(0.163)	(0.163)	(0.164)	(0.164)	(0.172)	(0.163)	(0.175)
i.fm.mmc.sum	-0.010	0.508*	-0.083	-0.012	-0.019	-0.072	0.010	0.467
	(0.110)	(0.217)	(0.116)	(0.110)	(0.112)	(0.160)	(0.112)	(0.323)
I(i.acq.experience * 100)	0.161***	0.163***	0.144***	0.163***	0.156***	0.193***	0.163***	0.193***
	(0.036)	(0.036)	(0.037)	(0.036)	(0.036)	(0.053)	(0.037)	(0.055)
I(100 * ij.discossim)	-0.010*	-0.011**	-0.009*	-0.010*	-0.010*	-0.008	-0.010*	-0.007
	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)
I(i.fm.mmc.sum^2)		-0.142**						-0.190*
		(0.050)						(0.075)
ij.dist			-0.376***					-0.450***
			(0.075)					(0.092)
j.constraint				0.464				0.433
				(0.323)				(0.334)
ij.syn.constraint					-5.511			-1.504
					(3.700)			(2.550)
ij.syn.degree						0.435***		0.486***
						(0.052)		(0.058)
ij.syn.closeness2							0.142	-0.592**
							(0.124)	(0.197)
Likelihood-ratio	112.7	121.1	138.5	114.7	112.7	305.2	113.9	341.9
Log-likelihood	-582.9	-578.7	-570.0	-581.8	-580.4	-486.6	-582.2	-465.8
Deviance	1165.7	1157.3	1139.9	1163.7	1160.8	973.2	1164.5	931.6
AIC	1191.7	1185.3	1167.9	1191.7	1188.8	1001.2	1192.5	969.6
BIC	1240.4	1237.8	1220.4	1244.1	1241.2	1053.6	1244.9	1040.7
N	313	313	313	313	313	313	313	313
