	mc7	mc7a	mc7b	mc7c	mc7d	mc7e	mc7f
ln_asset	-0.147	-0.119	-0.130	-0.157	-0.170	-0.166	-0.147
	(0.269)	(0.274)	(0.274)	(0.270)	(0.271)	(0.271)	(0.280)
cash_holding	0.012	0.011	0.011	0.012	0.013	0.013	0.012
	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.012)
roa	-0.001	-0.001	-0.001	-0.000	-0.001	-0.001	0.000
	(0.003)	(0.003)	(0.003)	(0.004)	(0.003)	(0.003)	(0.004)
ln_employee	0.194	0.139	0.152	0.199	0.220	0.219	0.149
	(0.333)	(0.344)	(0.338)	(0.334)	(0.335)	(0.335)	(0.351)
j.age	-0.184	-0.186	-0.150	-0.193	-0.195	-0.188	-0.190
	(0.246)	(0.246)	(0.247)	(0.247)	(0.247)	(0.247)	(0.249)
i.age	0.235	0.238	0.202	0.244	0.246	0.239	0.242
	(0.244)	(0.245)	(0.245)	(0.245)	(0.246)	(0.245)	(0.247)
ij.age.diff	-0.220	-0.223	-0.186	-0.229	-0.230	-0.224	-0.226
	(0.245)	(0.245)	(0.246)	(0.245)	(0.246)	(0.245)	(0.248)
i.deg	-0.002	-0.002	-0.002	-0.002	-0.001	-0.001	-0.002
	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)
j.deg	-0.474***	-0.464***	-0.479***	-0.472***	-0.464***	-0.464***	-0.459***
	(0.058)	(0.058)	(0.058)	(0.058)	(0.059)	(0.058)	(0.059)
ij.same.region	0.867***	0.880***	0.868***	0.870***	0.860***	0.868***	0.880***
	(0.175)	(0.175)	(0.176)	(0.175)	(0.175)	(0.175)	(0.176)
i.fm.mmc.sum	0.467	0.528	0.521	0.465	0.486	0.483	0.558
	(0.323)	(0.330)	(0.329)	(0.324)	(0.329)	(0.329)	(0.343)
I(i.acq.experience * 100)	0.193***	0.192***	0.197***	0.192***	0.190***	0.191***	0.196***
	(0.055)	(0.055)	(0.058)	(0.055)	(0.055)	(0.055)	(0.058)
ij.discossim	-0.709	-0.693	-0.718	-0.140	-0.738	-0.736	0.919
	(0.449)	(0.450)	(0.454)	(0.836)	(0.451)	(0.451)	(1.364)
I(i.fm.mmc.sum^2)	-0.190*	-0.195**	-0.193*	-0.189*	-0.191*	-0.191*	-0.190*
	(0.075)	(0.076)	(0.076)	(0.075)	(0.076)	(0.075)	(0.077)
ij.dist	-0.450***	1.474	-0.458***	-0.451***	-0.455***	-0.466***	0.712
	(0.092)	(0.954)	(0.093)	(0.092)	(0.092)	(0.092)	(1.061)
j.constraint	0.433	0.501	10.060***	0.448	0.579	0.502	6.916*
	(0.334)	(0.337)	(2.899)	(0.334)	(0.344)	(0.337)	(3.501)
ij.syn.closeness2	-0.592**	-1.648**	-1.079***	-0.556**	-0.348	-0.512**	-1.319*
	(0.197)	(0.588)	(0.261)	(0.202)	(0.215)	(0.197)	(0.607)
ij.syn.constraint	-1.504	0.026	-3.792	-1.578	-8.238	0.283	-4.525
	(2.550)	(2.568)	(2.870)	(2.554)	(4.863)	(5.236)	(7.007)
ij.syn.degree	0.486***	0.477***	0.494***	0.485***	0.376***	0.476***	0.432***
	(0.058)	(0.058)	(0.059)	(0.058)	(0.076)	(0.059)	(0.088)
ij.dist x ij.syn.closeness2		0.343*					0.210
		(0.169)					(0.188)
j.constraint x ij.syn.closeness2			1.714***				1.131
			(0.512)				(0.627)
ij.discossim x ij.syn.closeness2				0.112			0.313
				(0.137)			(0.241)
ij.syn.closeness2 x ij.syn.degree					-0.019*		-0.008
					(0.009)		(0.012)
ij.syn.closeness2 x ij.syn.constraint						1.648	0.794
						(1.082)	(1.350)
Likelihood-ratio	341.9	345.8	353.6	342.6	348.1	345.2	358.9
Log-likelihood	-465.8	-463.8	-459.9	-465.4	-462.7	-464.1	-457.3
Deviance	931.6	927.7	919.8	930.9	925.3	928.2	914.6
AIC	969.6	967.7	959.8	970.9	965.3	968.2	962.6
BIC	1040.7	1042.6	1034.8	1045.8	1040.3	1043.1	1052.5
N	313	313	313	313	313	313	313
