	mc6	mc6a	mc6b	mc6c	mc6d	mc6e	mc6f
ln_asset	-0.147	-0.164	-0.202	-0.146	-0.170	-0.189	-0.252
	(0.269)	(0.270)	(0.303)	(0.269)	(0.271)	(0.273)	(0.308)
cash_holding	0.012	0.012	0.013	0.011	0.013	0.013	0.014
	(0.011)	(0.011)	(0.012)	(0.011)	(0.011)	(0.011)	(0.013)
roa	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001
	(0.003)	(0.003)	(0.004)	(0.003)	(0.003)	(0.003)	(0.004)
ln_employee	0.194	0.223	0.250	0.185	0.220	0.248	0.320
	(0.333)	(0.334)	(0.368)	(0.332)	(0.335)	(0.338)	(0.376)
j.age	-0.184	-0.181	-0.172	-0.187	-0.195	-0.200	-0.182
	(0.246)	(0.248)	(0.253)	(0.247)	(0.247)	(0.248)	(0.256)
i.age	0.235	0.231	0.226	0.238	0.246	0.252	0.235
	(0.244)	(0.246)	(0.251)	(0.245)	(0.246)	(0.246)	(0.254)
ij.age.diff	-0.220	-0.216	-0.211	-0.223	-0.230	-0.237	-0.221
	(0.245)	(0.246)	(0.251)	(0.245)	(0.246)	(0.246)	(0.254)
i.deg	-0.002	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001
	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)
j.deg	-0.474***	-0.537***	-0.265***	-0.482***	-0.464***	-0.452***	-0.321***
	(0.058)	(0.066)	(0.058)	(0.058)	(0.059)	(0.059)	(0.066)
ij.same.region	0.867***	0.877***	0.874***	0.878***	0.860***	0.859***	0.895***
	(0.175)	(0.175)	(0.177)	(0.175)	(0.175)	(0.175)	(0.180)
i.fm.mmc.sum	0.467	0.471	0.432	0.463	0.486	0.492	0.453
	(0.323)	(0.327)	(0.358)	(0.324)	(0.329)	(0.333)	(0.373)
I(i.acq.experience * 100)	0.193***	0.191***	0.173**	0.193***	0.190***	0.190***	0.169**
	(0.055)	(0.055)	(0.059)	(0.055)	(0.055)	(0.055)	(0.060)
ij.discossim	-0.709	-0.692	-0.702	-0.304	-0.738	-0.731	-0.357
	(0.449)	(0.450)	(0.462)	(0.502)	(0.451)	(0.453)	(0.527)
I(i.fm.mmc.sum^2)	-0.190*	-0.190*	-0.175*	-0.190*	-0.191*	-0.190*	-0.176*
	(0.075)	(0.076)	(0.083)	(0.075)	(0.076)	(0.076)	(0.086)
ij.dist	-0.450***	-0.367***	-0.419***	-0.448***	-0.455***	-0.464***	-0.344***
	(0.092)	(0.097)	(0.095)	(0.092)	(0.092)	(0.093)	(0.104)
j.constraint	0.433	0.154	1.135**	0.465	0.579	0.656	0.992*
	(0.334)	(0.353)	(0.355)	(0.335)	(0.344)	(0.348)	(0.388)
ij.syn.closeness2	-0.592**	-0.565**	-0.606**	-0.596**	-0.348	-0.506**	-0.588**
	(0.197)	(0.193)	(0.194)	(0.196)	(0.215)	(0.196)	(0.223)
ij.syn.constraint	-1.504	-4.101	-1.047	-0.223	-8.238	-23.495	-16.920
	(2.550)	(3.002)	(2.676)	(2.590)	(4.863)	(12.559)	(11.507)
ij.syn.degree	0.486***	0.598***	0.252***	0.478***	0.376***	0.475***	0.384***
	(0.058)	(0.075)	(0.060)	(0.059)	(0.076)	(0.059)	(0.092)
ij.dist x ij.syn.degree		-0.020**					-0.021*
		(0.008)					(0.009)
j.constraint x ij.syn.degree			1.054***				1.042***
			(0.159)				(0.163)
ij.discossim x ij.syn.degree				-0.072			-0.054
				(0.040)			(0.040)
ij.syn.closeness2 x ij.syn.degree					-0.019*		0.006
					(0.009)		(0.011)
ij.syn.constraint x ij.syn.degree						1.203*	0.821
						(0.610)	(0.502)
Likelihood-ratio	341.9	349.3	387.1	345.3	348.1	352.7	403.2
Log-likelihood	-465.8	-462.1	-443.2	-464.1	-462.7	-460.4	-435.1
Deviance	931.6	924.2	886.4	928.1	925.3	920.7	870.3
AIC	969.6	964.2	926.4	968.1	965.3	960.7	918.3
BIC	1040.7	1039.1	1001.3	1043.1	1040.3	1035.6	1008.2
N	313	313	313	313	313	313	313
