	mc0	mc1	mc2	mc3	mc4
ln_asset	0.483	0.465	0.240	0.270	0.279
	(0.362)	(0.376)	(0.389)	(0.398)	(0.400)
cash_holding	-0.004	-0.003	0.004	0.004	0.003
	(0.013)	(0.013)	(0.013)	(0.013)	(0.013)
roa	0.003	0.003	-0.000	0.001	0.001
	(0.009)	(0.010)	(0.009)	(0.010)	(0.010)
ln_employee	-0.467	-0.409	-0.073	-0.093	-0.100
	(0.402)	(0.417)	(0.440)	(0.448)	(0.451)
ij.same.region	0.660	0.711	0.586	0.634	0.629
	(0.279)	(0.284)	(0.281)	(0.285)	(0.285)
ij.diff.deg	0.000	-0.001	0.003	0.002	0.002
	(0.003)	(0.004)	(0.004)	(0.004)	(0.004)
i.fm.mmc.sum	-0.071	-0.091	0.762	0.750	0.722
	(0.158)	(0.166)	(0.360)	(0.362)	(0.365)
I(i.acq.experience * 100)	0.101	0.098	0.158	0.153	0.154
	(0.041)	(0.040)	(0.051)	(0.051)	(0.051)
j.constraint		1.129	0.814	1.102	1.082
		(0.524)	(0.491)	(0.510)	(0.509)
i.pow.n2		-0.053	-0.051	-0.053	-0.052
		(0.041)	(0.040)	(0.040)	(0.040)
ij.inv.dist		0.145		0.143	0.205
		(0.063)		(0.064)	(0.108)
I(100 * ij.discossim)		-0.006		-0.006	-0.006
		(0.007)		(0.007)	(0.007)
I(i.fm.mmc.sum^2)			-0.283	-0.280	-0.251
			(0.106)	(0.107)	(0.115)
ij.inv.dist x I(i.fm.mmc.sum^2)					-0.007
					(0.009)
Likelihood-ratio	27.0	37.3	38.9	44.6	45.1
Log-likelihood	-194.6	-189.5	-188.7	-185.9	-185.6
Deviance	389.3	379.0	377.4	371.7	371.2
AIC	405.3	403.0	399.4	397.7	399.2
BIC	426.0	434.1	427.9	431.4	435.6
N	99	99	99	99	99
