	mc0	mc1	mc2	mc3	mc4
ij.same.region	0.832	0.833	0.817	0.805	0.800
	(0.196)	(0.196)	(0.197)	(0.198)	(0.198)
ij.same.employee.range	0.391	0.370	0.406	0.424	0.403
	(0.344)	(0.344)	(0.345)	(0.346)	(0.346)
ij.diff.deg	0.016	0.024	0.015	0.016	0.024
	(0.012)	(0.014)	(0.012)	(0.012)	(0.014)
i.deg	-0.025	-0.034	-0.025	-0.024	-0.033
	(0.012)	(0.014)	(0.012)	(0.012)	(0.014)
i.fm.mmc.sum	0.164	0.135	0.629	0.639	0.633
	(0.073)	(0.073)	(0.197)	(0.198)	(0.198)
I(i.acq.experience * 100)	0.317	0.314	0.309	0.297	0.295
	(0.044)	(0.044)	(0.044)	(0.042)	(0.043)
i.pow.n1	-0.013	-0.013	-0.012	-0.071	-0.070
	(0.010)	(0.010)	(0.010)	(0.029)	(0.029)
ij.dist		-0.185			-0.193
		(0.084)			(0.084)
I(i.fm.mmc.sum^2)			-0.110	-0.116	-0.121
			(0.043)	(0.044)	(0.044)
i.pow.n1 x I(i.fm.mmc.sum^2)				0.005	0.005
				(0.002)	(0.002)
Likelihood-ratio	176.5	181.4	183.2	189.5	194.8
Log-likelihood	-641.2	-638.8	-637.8	-634.7	-632.1
Deviance	1282.4	1277.5	1275.7	1269.4	1264.1
AIC	1296.4	1293.5	1291.7	1287.4	1284.1
BIC	1318.3	1318.5	1316.7	1315.5	1315.4
N	168	168	168	168	168
